pH,N,P,K,Moisture,Temperature,Region
6.5,80,25,160,45,28,Central
5.2,35,10,70,60,32,Northeast
7.8,90,35,200,30,26,North
4.8,20,8,50,55,30,South
6.2,65,20,140,42,27,Central
5.8,50,15,110,48,29,East
7.0,75,28,180,38,25,North
6.8,85,22,155,41,27,Central
5.5,40,12,90,52,31,Northeast
7.2,95,30,190,35,24,North
6.0,55,18,120,46,28,East
4.5,15,5,40,58,33,South
6.7,78,24,165,40,26,Central
5.3,30,9,65,56,31,Northeast
7.5,88,32,195,33,23,North
6.4,70,21,145,43,27,Central
5.0,25,7,55,57,32,South
6.9,82,26,170,39,26,Central
5.7,48,14,105,49,29,East
7.3,92,31,185,34,24,North
6.1,58,17,125,45,28,Central
4.6,18,6,45,59,33,South
6.6,76,23,158,41,27,Central
5.4,38,11,85,53,30,Northeast
7.1,87,29,175,36,25,North
6.3,68,19,135,44,28,East
5.9,52,16,115,47,29,East
4.7,22,7,48,56,31,South
7.4,93,33,192,32,23,North
6.8,80,25,162,40,26,Central
5.1,28,8,60,58,32,South
7.0,85,27,178,37,25,North
6.5,72,22,150,42,27,Central
5.6,45,13,100,50,30,Northeast
6.2,60,18,130,46,28,East
4.9,24,6,52,57,32,South
7.6,90,34,198,31,23,North
6.7,77,23,160,40,26,Central
5.3,33,10,75,55,31,Northeast
6.0,56,17,118,47,29,East
7.2,88,30,182,35,24,North
6.4,69,20,142,43,27,Central
5.8,47,14,108,49,29,East
4.4,12,4,35,60,34,South
6.9,83,26,168,39,26,Central
5.5,42,12,92,51,30,Northeast
7.3,91,31,188,34,24,North
6.1,62,19,128,45,28,Central
5.0,26,8,58,57,32,South
6.6,74,22,152,41,27,Central
